timeSec[s]	codePseudorange1[m]	codePseudorange2[m]	codePseudorange3[m]	codePseudorange4[m]	codePseudorange5[m]	pseudorangeRate1[m/s]	pseudorangeRate2[m/s]	pseudorangeRate3[m/s]	pseudorangeRate4[m/s]	pseudorangeRate5[m/s]
36730.785000000003	571.629268369991	647.988392667061	493.384213267397	275.124171333346	615.837653565161	3.956411934676	-0.495434411506	4.184162119845	3.895395591399	-3.543471248542
36731.785000000003	575.120670913474	647.497894621583	497.423920594310	278.572350374297	612.806422244248	3.366165545935	-0.386784122250	3.632899470969	3.283017796634	-2.825482799848
36732.785000000003	578.481344976013	647.317565575952	500.579418013486	281.918283056436	609.667385570341	3.023359747883	-0.212368041615	3.225847754633	2.977764501886	-2.778775968121
36733.785000000003	581.430738533835	647.076948727503	503.504955559407	284.759233349492	607.431143316295	2.466005831977	0.058410016666	2.443370812840	2.476825781325	-2.342285383314
36734.785000000003	583.969305674105	647.258235971438	505.758067738285	287.344437431262	604.940783268477	2.533997224507	0.089804040194	2.507774675566	2.510284911664	-2.043553475780
36735.785000000003	586.239891620607	647.323437486378	507.918431215087	289.328092394319	603.109626639084	1.878226043226	-0.259102244405	2.102360115998	1.873609816822	-1.576305456566
36736.785000000003	587.507937739943	646.659445516619	510.277640128204	290.660639614556	602.236174125262	0.827220456558	-1.233315349225	2.506765587888	0.856815189686	-0.415613997776
36737.785000000003	587.722304602948	644.525979933134	513.546950666857	290.895173609412	602.082054755373	-0.225021192817	-2.765742302774	3.430422904245	-0.083581363950	1.031509979077
36738.785000000003	586.077047967190	640.591815848181	516.432648127695	289.155621801889	604.215353828565	-3.104701579332	-4.582639384251	3.036240284245	-2.918447605432	3.453120000635
36739.785000000003	582.213598486221	635.471878893342	519.109702712160	285.586138501756	608.651328949185	-4.430727127189	-5.576524244885	2.904882124359	-4.181484328523	5.188688912319
36740.785000000003	577.350735173739	629.451886276841	521.995914803841	281.072331209930	613.832844028300	-5.043596617157	-6.541193255826	3.636131614315	-4.977419935902	6.135804947080
36741.785000000003	571.539861718416	621.693635501498	525.993361967834	275.513015264379	620.803525883046	-6.302824370317	-8.032221581964	4.243929690331	-6.022185656885	7.161905887074
36742.785000000003	565.110078802712	613.387125305822	530.257157938288	269.248769061060	628.883069891785	-6.923637267735	-8.916549125367	4.832757253907	-6.523783646444	7.988479168813
36743.785000000003	557.827248867389	604.017283888874	535.569885096348	262.322937974543	637.370946434999	-7.266938625175	-9.494489691316	5.661609943381	-6.920105104936	9.027349111955
36744.785000000003	550.028667084207	593.766900730224	541.492048520661	254.874678382903	646.218804910096	-8.201642298402	-10.218057209336	6.127049460151	-7.591108627876	9.538609682645
36745.785000000003	541.661815708155	583.120797971852	547.836158349647	247.206952456371	655.877910659029	-8.632852387375	-11.322014320188	6.594689939236	-8.008136420907	10.165282748802
36746.785000000003	532.801871153966	571.510387811880	554.704320488436	239.387897709607	666.736380910552	-8.742830192569	-11.496693248235	7.003889899491	-7.901552895993	10.851389412249
36747.785000000003	523.953480578132	559.816530210943	562.122698068346	231.493036546535	677.695861901610	-9.263211669433	-11.876053766227	7.437099351025	-7.837134043160	11.017862593172
36748.785000000003	515.055765983260	548.016705796593	569.874436340111	223.707648262627	688.932438471480	-8.603627735240	-11.849391699673	7.781198317146	-7.345981646607	11.116945536482
36749.785000000003	506.148570033487	536.526740716310	577.742645803008	216.363115752658	700.241473008498	-8.683605617514	-11.906048009197	7.983240775222	-6.940164112834	11.215334969890
36750.785000000003	497.586839488955	525.445954095309	585.189971188065	209.255569614676	711.369943240205	-8.671047284967	-11.266087343492	7.137378293250	-6.982356488537	11.153611304994
36751.785000000003	488.955864538552	514.593047271520	592.388490634432	202.322945176354	722.708447193988	-8.859465473738	-10.839976844116	6.588837238618	-6.931366256124	11.107786125231
36752.785000000003	479.990624152014	504.330475049853	598.543174395215	195.348856498741	733.783683631180	-9.055745477630	-10.087278458749	5.703799127739	-7.082747588218	11.309569351077
36753.785000000003	470.715869158074	494.796886213106	603.805508636255	188.115751315245	744.973411712648	-9.798943741910	-9.536670021907	5.098055621453	-7.742192437305	11.366717580231
36754.785000000003	460.795017669003	485.606307701470	608.011225738524	180.121866788761	756.623196626878	-10.173109480745	-8.603808761984	4.051203691260	-8.178430866549	11.280435703979
36755.785000000003	450.554288137276	477.213880849899	611.558937794547	171.653990106322	768.105725602063	-10.656525412020	-7.598818817335	3.179513859838	-8.611082836187	11.154522631975
36756.785000000003	439.838535218329	470.114370674766	614.249527491144	162.884303266249	779.187246917367	-11.132942359211	-6.704892193181	2.286626196284	-9.243343869273	11.018351962879
36757.785000000003	428.514453389506	464.194984030629	615.886003740293	153.119053475903	790.041111943089	-11.431897083735	-5.178194271871	1.111190806999	-10.126348080929	10.589675904957
36758.785000000003	417.432605299443	459.980971855687	617.115148322003	143.079908023625	800.033103620158	-11.595553280176	-3.271484695102	0.434357219439	-10.314228173791	10.879374620510
36759.785000000003	405.645774917848	456.092066947601	617.397852961658	132.790099104013	809.792739072247	-11.461453448267	-7.632005404651	0.427352820827	-10.005682746597	10.183525208017
36760.785000000003	394.057598094475	452.972575620099	617.818673724324	122.781078890839	820.218343635129	-10.629823147614	-3.031763847764	0.427570808805	-9.598389746910	10.161278745212
36761.785000000003	383.682167492886	449.724625746211	618.542631671476	113.714778163065	829.783737752522	-9.938838017575	-3.088856598696	0.397145584604	-8.614473863652	9.019692265805
36762.785000000003	374.789660045448	447.239948548174	619.299275053692	105.991149648252	838.092213529712	-8.215062528724	-1.949031355244	0.653671355829	-7.000460669263	7.747857897351
36763.785000000003	367.499924915579	445.404659230367	620.081546339360	99.893760473703	844.350215473852	-6.348327154393	-1.568779600661	0.529085101756	-5.116986423116	5.897033080679
36764.785000000003	362.253982257637	443.588381875172	620.864075092887	96.090892676019	849.685378082913	-4.262338019328	-1.638425736364	1.240724190039	-3.016228116381	4.078258462071
36765.785000000003	359.276482069723	441.957485982637	622.204110020081	94.254530840946	853.497807441429	-1.916259997829	-1.665527957560	1.341613111199	-0.837834073557	2.124042418909
36766.785000000003	357.998825389666	441.279883635358	623.192872398926	94.140690872921	854.637489160000	-0.206313421766	-0.223493447990	0.204884601494	-0.115182095075	0.274611448225
36767.785000000003	357.088228553951	441.418955407996	623.439923693570	94.307205341423	856.095311443141	-0.016705330866	-0.012192643451	0.082195242244	-0.023718653347	0.068523305077
36768.785000000003	357.786158285296	441.688512175591	623.522886555253	94.411525649347	856.411963270416	0.201612579993	0.231127769312	-0.202482848604	0.013227269880	-0.262281120911
36769.785000000003	358.138671511938	442.024429693691	623.151522112015	94.162139145536	855.283327592871	0.401567901117	0.596061990832	-0.623448705130	-0.023678065170	-0.700042597528
36770.785000000003	358.312263037701	443.087940145498	622.469989225216	94.300462036921	853.986896471809	0.424574325665	0.829023216540	-0.717628911333	-0.032366086434	-0.648570235389
36771.785000000003	359.124113800972	443.725693349101	621.604989283780	94.195541799009	853.160359122502	0.310590184412	1.182635354699	-1.088849989106	-0.355841207500	-0.822274276940
36772.785000000003	359.351260101375	444.811513389334	620.289330769290	93.334633804255	851.817798563889	-0.044463631819	1.042638861764	-1.212845065228	-0.715058718628	-0.537321746403
36773.785000000003	359.486376285321	445.396310434680	618.574724425056	92.795947414073	852.178990394156	-0.058810845826	0.324414905827	-0.320409974599	-0.239628954069	-0.073785273984
36774.785000000003	359.728986991348	445.090047016209	618.306344232576	92.283434397952	852.688467677738	0.059858046636	-0.217224704796	0.368488238990	0.189608259927	0.199519633339
36775.785000000003	359.598295078707	444.600237533881	618.594269931564	92.752082539190	853.306451176644	0.206886007286	-1.351026934610	1.390779041309	0.879889164046	0.459666164422
36776.785000000003	359.990502457849	443.083287934827	620.490871078114	94.041311617047	852.573804722464	1.296759351724	-1.545962648890	1.807923832912	1.957459732213	-0.551979778807
36777.785000000003	361.683556523735	441.979770422993	622.479418387926	96.798487143058	850.956249081963	2.563714514928	-0.675545529843	0.912236685416	2.788333941501	-1.960662337433
36778.785000000003	366.533174459617	441.971085441687	622.831174462752	99.798893322825	847.825946850102	3.885283452618	0.900982671753	-0.475083434351	3.132981986406	-3.498780983726
36779.785000000003	370.757159192982	443.212128190633	622.217311606346	103.267596444540	843.125914110035	4.803472613630	1.366496110619	-0.758562996308	3.696385127405	-4.664242848547
36780.785000000003	375.539536172465	444.742118320896	621.662557262597	107.374304633085	838.191141508233	5.781456541285	1.755549764051	-0.418823888232	4.975041571060	-5.332272343285
36781.785000000003	382.115675868545	446.401156546417	621.179168388940	112.826816572516	832.158763097863	7.168908722841	1.851631261986	-0.311471392091	6.429328536466	-6.471497047459
36782.785000000003	389.715885353678	447.904901103857	621.193986994777	119.269062953749	825.283533985590	7.946863301184	2.118491914620	0.014379619395	6.818611572184	-7.061749831703
36783.785000000003	397.964853175506	450.116057780194	621.000568402509	126.458344950124	817.982317518445	8.776430719355	2.240629134787	-0.212139506989	7.684628010373	-7.706729885313
36784.785000000003	406.914255462688	453.453051865695	620.857270227258	134.399624812090	809.468734970682	9.329315063037	2.921434602499	-0.000697572761	8.362786103363	-8.248201352767
36785.785000000003	416.331905646961	457.022932856722	620.434669814714	142.701525466947	800.662516215906	9.337178873785	3.807822267136	-0.562144215794	8.411894071530	-8.840320381447
36786.785000000003	426.057297875684	461.106579868647	619.843155202635	151.338846213952	791.567858788596	9.693766152107	4.502934072942	-0.954734110707	8.146107817299	-9.407568419138
36787.785000000003	435.928443461906	466.297385222438	618.471705925929	160.001980593974	781.975463447322	9.916944541987	5.666126797027	-1.696826213434	8.413493433304	-10.113252614546
36788.785000000003	445.915502837967	472.169468410036	616.175310372920	168.487795658502	771.676949660930	10.121345957434	6.847673649225	-2.467470841622	8.510404882672	-10.542990286285
36789.785000000003	455.920823452648	479.201891948353	613.233115740827	176.916702625174	761.300164365997	9.943097505293	7.807178983463	-3.472489614206	8.106241571412	-10.741490565383
36790.785000000003	466.000160771503	487.488238846236	609.117900493787	184.817766962695	750.491687827457	9.778765455657	8.957612738914	-4.688015144474	7.956724843715	-11.269956037006
36791.785000000003	475.674659768704	496.882992690855	604.315846033237	192.563346749814	739.363648811395	9.464208805514	9.940149099311	-5.477554364954	7.573909187785	-11.187544259035
36792.785000000003	484.618777564475	506.907516317141	598.840527533991	199.366749122912	728.327671619014	8.606254719085	10.197801372221	-6.127328127919	6.730489872327	-10.731607759243
36793.785000000003	493.118630393924	517.432468096077	592.421077354580	205.625081112923	717.348453458239	8.498024777188	10.465433690413	-6.710060669776	6.640561139373	-10.662825362213
36794.785000000003	501.181313031925	528.494505540516	585.572403948837	211.940120964477	706.510254156317	8.201031058058	10.961101432241	-7.257050051331	6.310138434387	-10.657607089278
36795.785000000003	508.983438889296	539.584349642284	578.480861872117	218.331717112920	695.657554607300	7.794574145565	11.091251017818	-7.311793543232	6.323447054294	-10.017070686458
36796.785000000003	516.910880787761	550.669840236778	571.231931417006	225.090668386256	685.190867785962	8.361537768141	11.326968689455	-7.075927831388	7.039948637738	-10.445788307337
36797.785000000003	525.417344071144	561.927175423062	564.290781612155	232.315043776054	674.368881206670	8.299718258270	10.977242321076	-6.873590015376	7.263087272468	-10.519782542002
36798.785000000003	533.967561140381	572.978937806022	557.395207205938	239.820704586972	663.712984953562	8.392398688619	10.883692451456	-6.719849858606	7.423049704853	-10.448542609980
36799.785000000003	542.511745057248	583.819318921981	550.603001264118	247.646639748090	653.321279891534	8.237159569368	10.801939648335	-6.171168869121	7.619153152292	-10.382739640541
36800.785000000003	550.866080981286	594.456944045245	544.443034379295	255.216043859951	643.268829887899	8.215242588208	10.496349365860	-5.768358597620	7.524271218401	-9.746444129351
36801.785000000003	558.782134491356	604.531438081264	539.298653136818	262.314206697234	633.698596725366	7.353645931564	9.474182617907	-5.201539357268	6.864019780201	-8.626430278522
36802.785000000003	565.856484401143	613.443929239587	534.440297188886	268.992192595895	625.261530696371	6.714109147545	8.429284579639	-4.540379271700	6.471721675035	-7.953627703527
36803.785000000003	572.175253848281	621.233161692981	530.341989697514	274.895009161416	618.641286899795	5.747552969041	7.385596674247	-3.700046296447	5.568755407059	-6.769167964957
36804.785000000003	577.482155528517	627.975993658000	526.903390075022	280.057281272719	613.100346699458	5.092292829982	6.272041238264	-3.160355940393	4.648332685723	-5.705053081116
36805.785000000003	581.790359477239	634.058139845554	523.503427968821	284.290497967051	607.646974605031	3.746628572365	5.502514070056	-3.260306109383	3.565777817699	-3.813687667308
36806.785000000003	584.483139928421	638.610002943953	520.097220938566	286.888536137731	603.194354984419	1.661276971972	4.159692163337	-3.734869785380	1.565147040496	-2.342274767680
36807.785000000003	585.247480446126	641.981707086632	516.213878897233	287.458712220861	601.846465789752	0.188692922479	2.444153885007	-3.083069137843	-0.019260193202	-0.478097878372
